date[2004-04-27] sell[150200] price[7.63] cash[1145270.7571] benerfit[-49912.0608]
date[2004-04-30] buy[157000] price[7.29] cash[397.3981] value[1144927.3981]
date[2004-05-11] sell[157000] price[7.17] cash[1124624.0011] benerfit[-20646.7560]
date[2004-05-12] buy[153800] price[7.31] cash[8.7177] value[1124286.7177]
date[2004-05-13] sell[153800] price[7.21] cash[1107465.1503] benerfit[-17158.8508]
date[2004-05-17] buy[157900] price[7.01] cash[254.0866] value[1107133.0866]
date[2004-05-19] sell[157900] price[7.12] cash[1123040.5642] benerfit[15575.4139]
date[2004-05-26] buy[169300] price[6.63] cash[244.8265] value[1122703.8265]
date[2004-05-27] sell[169300] price[6.72] cash[1136461.8217] benerfit[13421.2575]
date[2004-05-28] buy[164800] price[6.89] cash[649.1801] value[1136121.1801]
date[2004-05-31] sell[164800] price[6.90] cash[1136290.9241] benerfit[-170.8976]
date[2004-06-01] buy[161300] price[7.04] cash[398.2585] value[1135950.2585]
date[2004-06-03] sell[161300] price[6.88] cash[1108699.5913] benerfit[-27591.3328]
date[2004-06-11] buy[168400] price[6.58] cash[295.1697] value[1108367.1697]
date[2004-06-14] sell[168400] price[6.39] cash[1074972.2709] benerfit[-33727.3204]
date[2004-06-15] buy[166000] price[6.47] cash[630.0649] value[1074650.0649]
date[2004-06-17] sell[166000] price[6.42] cash[1064964.6289] benerfit[-10007.6420]
date[2004-06-21] buy[168900] price[6.30] cash[575.4079] value[1064645.4079]
date[2004-06-23] sell[168900] price[6.35] cash[1071696.1384] benerfit[6731.5095]
date[2004-06-24] buy[168400] price[6.36] cash[350.8312] value[1071374.8312]
date[2004-06-25] sell[168400] price[6.30] cash[1059891.6352] benerfit[-11804.5032]
date[2004-06-28] buy[162700] price[6.51] cash[396.8821] value[1059573.8821]
date[2004-06-29] sell[162700] price[6.52] cash[1059821.8369] benerfit[-69.7983]
date[2004-07-01] buy[166000] price[6.38] cash[424.1129] value[1059504.1129]
date[2004-07-02] sell[166000] price[6.31] cash[1046522.4149] benerfit[-13299.4220]
date[2004-07-09] buy[169800] price[6.16] cash[240.6245] value[1046208.6245]
date[2004-07-12] sell[169800] price[5.98] cash[1014324.5993] benerfit[-32197.8156]
date[2004-07-14] buy[171800] price[5.90] cash[400.5133] value[1014020.5133]
date[2004-07-19] sell[171800] price[6.05] cash[1038439.3063] benerfit[24114.7070]
date[2004-07-20] buy[168500] price[6.16] cash[167.9183] value[1038127.9183]
date[2004-07-21] sell[168500] price[6.08] cash[1023316.0943] benerfit[-15123.2120]
date[2004-07-28] buy[182600] price[5.60] cash[449.3263] value[1023009.3263]
date[2004-07-30] sell[182600] price[5.57] cash[1016209.1197] benerfit[-7106.9746]
date[2004-08-03] buy[182700] price[5.56] cash[92.3761] value[1015904.3761]
date[2004-08-05] sell[182700] price[5.64] cash[1029180.8197] benerfit[12971.7000]
date[2004-08-06] buy[181400] price[5.67] cash[334.2583] value[1028872.2583]
date[2004-08-09] sell[181400] price[5.63] cash[1020288.5917] benerfit[-8892.2280]
date[2004-08-13] buy[187400] price[5.44] cash[526.7549] value[1019982.7549]
date[2004-08-16] sell[187400] price[5.35] cash[1001813.3879] benerfit[-18475.2038]
date[2004-08-17] buy[191400] price[5.23] cash[491.0813] value[1001513.0813]
date[2004-08-18] sell[191400] price[5.14] cash[983008.1465] benerfit[-18805.2414]
date[2004-08-20] buy[193400] price[5.08] cash[241.4049] value[982713.4049]
date[2004-08-23] sell[193400] price[5.08] cash[981436.1913] benerfit[-1571.9552]
date[2004-08-24] buy[187200] price[5.24] cash[213.9129] value[981141.9129]
date[2004-08-25] sell[187200] price[5.22] cash[976127.5737] benerfit[-5308.6176]
date[2004-08-27] buy[189100] price[5.16] cash[78.8469] value[975834.8469]
date[2004-09-01] sell[189100] price[5.23] cash[987786.1560] benerfit[11658.5823]
date[2004-09-02] buy[186300] price[5.30] cash[99.9390] value[987489.9390]
date[2004-09-03] sell[186300] price[5.33] cash[991788.0663] benerfit[4001.9103]
date[2004-09-10] buy[192500] price[5.15] cash[115.6538] value[991490.6538]
date[2004-09-13] sell[192500] price[5.05] cash[970976.8913] benerfit[-20811.1750]
date[2004-09-14] buy[183800] price[5.28] cash[221.7521] value[970685.7521]
date[2004-09-16] sell[183800] price[5.71] cash[1048355.4047] benerfit[77378.5134]
date[2004-09-30] buy[191200] price[5.48] cash[265.0719] value[1048041.0719]
date[2004-10-11] sell[191200] price[5.68] cash[1084869.2511] benerfit[36513.8464]
date[2004-10-13] buy[184700] price[5.87] cash[354.9944] value[1084543.9944]
date[2004-10-14] sell[184700] price[5.68] cash[1048087.1696] benerfit[-36782.0815]
date[2004-10-15] buy[177800] price[5.89] cash[530.9970] value[1047772.9970]
date[2004-10-18] sell[177800] price[5.85] cash[1039308.8280] benerfit[-8778.3416]
date[2004-10-19] buy[175800] price[5.91] cash[19.1346] value[1038997.1346]
date[2004-10-20] sell[175800] price[6.01] cash[1055203.6092] benerfit[15894.7812]
date[2004-10-25] buy[186300] price[5.66] cash[429.2718] value[1054887.2718]
date[2004-10-27] sell[186300] price[5.91] cash[1100030.9289] benerfit[44827.3197]
date[2004-11-03] buy[202100] price[5.44] cash[277.1017] value[1099701.1017]
date[2004-11-04] sell[202100] price[5.34] cash[1078088.1235] benerfit[-21942.8054]
date[2004-11-08] buy[199500] price[5.40] cash[464.9335] value[1077764.9335]
date[2004-11-11] sell[199500] price[5.61] cash[1118204.9800] benerfit[40116.8565]
date[2004-11-12] buy[193400] price[5.78] cash[17.6244] value[1117869.6244]
date[2004-11-15] sell[193400] price[5.88] cash[1135731.2748] benerfit[17526.2948]
date[2004-11-23] buy[191700] price[5.92] cash[526.8156] value[1135390.8156]
date[2004-11-24] sell[191700] price[5.93] cash[1135830.0003] benerfit[98.7255]
date[2004-11-29] buy[196100] price[5.79] cash[70.3746] value[1135489.3746]
date[2004-11-30] sell[196100] price[5.85] cash[1145764.0341] benerfit[9934.0338]
date[2004-12-02] buy[193100] price[5.93] cash[337.5092] value[1145420.5092]
date[2004-12-03] sell[193100] price[6.00] cash[1157431.3292] benerfit[11667.2951]
date[2004-12-14] buy[202200] price[5.72] cash[500.3540] value[1157084.3540]
date[2004-12-15] sell[202200] price[5.68] cash[1147503.3092] benerfit[-9928.0200]
date[2004-12-20] buy[210400] price[5.45] cash[479.3052] value[1147159.3052]
date[2004-12-21] sell[210400] price[5.49] cash[1154073.6804] benerfit[6570.3712]
date[2004-12-22] buy[204500] price[5.64] cash[347.6664] value[1153727.6664]
date[2004-12-23] sell[204500] price[5.53] cash[1129762.5159] benerfit[-24311.1645]
date[2004-12-27] buy[203100] price[5.56] cash[187.7451] value[1129423.7451]
date[2004-12-28] sell[203100] price[5.46] cash[1107672.1413] benerfit[-22090.3746]
date[2005-01-05] buy[203500] price[5.44] cash[300.0293] value[1107340.0293]
date[2005-01-06] sell[203500] price[5.24] cash[1065253.7873] benerfit[-42418.3540]
date[2005-01-07] buy[203200] price[5.24] cash[166.3569] value[1064934.3569]
date[2005-01-11] sell[203200] price[5.38] cash[1091961.1761] benerfit[26707.3888]
date[2005-01-21] buy[206300] price[5.29] cash[306.7780] value[1091633.7780]
date[2005-01-25] sell[206300] price[5.44] cash[1121119.8244] benerfit[29158.6483]
date[2005-02-01] buy[236900] price[4.73] cash[246.6633] value[1120783.6633]
date[2005-02-03] sell[236900] price[4.87] cash[1152449.8494] benerfit[31330.0250]
date[2005-02-04] buy[233600] price[4.93] cash[456.3550] value[1152104.3550]
date[2005-02-16] sell[233600] price[4.96] cash[1157606.1022] benerfit[5156.2528]
date[2005-02-18] buy[233300] price[4.96] cash[90.9518] value[1157258.9518]
date[2005-02-23] sell[233300] price[5.15] cash[1200024.0083] benerfit[42417.9061]
date[2005-03-08] buy[224200] price[5.35] cash[194.1673] value[1199664.1673]
date[2005-03-09] sell[224200] price[5.28] cash[1182431.2585] benerfit[-17592.7498]
date[2005-03-11] buy[227300] price[5.20] cash[116.6705] value[1182076.6705]
date[2005-03-15] sell[227300] price[5.18] cash[1176000.0323] benerfit[-6431.2262]
date[2005-03-16] buy[218100] price[5.39] cash[88.3646] value[1175647.3646]
date[2005-03-17] sell[218100] price[5.39] cash[1174119.1379] benerfit[-1880.8944]
date[2005-03-22] buy[215700] price[5.44] cash[359.1155] value[1173767.1155]
date[2005-03-23] sell[215700] price[5.43] cash[1170087.4892] benerfit[-4031.6487]
date[2005-03-24] buy[206600] price[5.66] cash[380.6824] value[1169736.6824]
date[2005-03-25] sell[206600] price[5.57] cash[1149646.6918] benerfit[-20440.7974]
date[2005-03-28] buy[199800] price[5.75] cash[452.0368] value[1149302.0368]
date[2005-03-29] sell[199800] price[5.68] cash[1133840.7136] benerfit[-15805.9782]
date[2005-03-31] buy[198500] price[5.71] cash[65.6831] value[1133500.6831]
date[2005-04-01] sell[198500] price[5.87] cash[1163745.9296] benerfit[29905.2160]
date[2005-04-06] buy[195800] price[5.94] cash[345.0140] value[1163397.0140]
date[2005-04-07] sell[195800] price[5.95] cash[1163840.5010] benerfit[94.5714]
date[2005-04-08] buy[193900] price[6.00] cash[91.4810] value[1163491.4810]
date[2005-04-11] sell[193900] price[5.97] cash[1156169.6231] benerfit[-7670.8779]
date[2005-04-15] buy[195900] price[5.90] cash[12.8801] value[1155822.8801]
date[2005-04-19] sell[195900] price[6.29] cash[1230622.0058] benerfit[74452.3827]
date[2005-04-21] buy[196200] price[6.27] cash[78.9536] value[1230252.9536]
date[2005-04-22] sell[196200] price[5.64] cash[1105208.4152] benerfit[-125413.5906]
date[2005-04-27] buy[267500] price[4.13] cash[101.9827] value[1104876.9827]
date[2005-04-29] sell[267500] price[3.61] cash[964521.6052] benerfit[-140686.8100]
date[2005-05-09] buy[286900] price[3.36] cash[248.4100] value[964232.4100]
date[2005-05-11] sell[286900] price[3.53] cash[1011688.8259] benerfit[47167.2207]
date[2005-05-13] buy[277800] price[3.64] cash[193.4683] value[1011385.4683]
date[2005-05-16] sell[277800] price[3.67] cash[1018394.0845] benerfit[6705.2586]
date[2005-05-17] buy[281200] price[3.62] cash[144.7013] value[1018088.7013]
date[2005-05-18] sell[281200] price[3.59] cash[1008340.3409] benerfit[-10053.7436]
date[2005-05-25] buy[292100] price[3.45] cash[293.0174] value[1008038.0174]
date[2005-05-27] sell[292100] price[3.48] cash[1015479.5570] benerfit[7139.2161]
date[2005-05-30] buy[285900] price[3.55] cash[230.0735] value[1015175.0735]
date[2005-05-31] sell[285900] price[3.42] cash[976736.9621] benerfit[-38742.5949]
date[2005-06-03] buy[275800] price[3.54] cash[112.0625] value[976444.0625]
date[2005-06-06] sell[275800] price[3.62] cash[997210.1477] benerfit[20473.1856]
date[2005-06-08] buy[257500] price[3.87] cash[386.1902] value[996911.1902]
date[2005-06-09] sell[257500] price[3.83] cash[985329.0977] benerfit[-11881.0500]
date[2005-06-17] buy[274300] price[3.59] cash[296.6766] value[985033.6766]
date[2005-06-20] sell[274300] price[3.61] cash[989232.3867] benerfit[3903.2890]
date[2005-06-21] buy[266500] price[3.71] cash[220.7722] value[988935.7722]
date[2005-06-22] sell[266500] price[3.73] cash[992973.5137] benerfit[3741.1270]
date[2005-06-24] buy[271200] price[3.66] cash[83.7361] value[992675.7361]
