date[2003-11-13] sell[132000] price[5.97] cash[787541.7621] benerfit[-15785.2200]
date[2003-11-14] buy[129700] price[6.07] cash[26.5784] value[787305.5784]
date[2003-11-17] sell[129700] price[6.07] cash[786282.1157] benerfit[-1259.6464]
date[2003-11-19] buy[127600] price[6.16] cash[30.3109] value[786046.3109]
date[2003-11-21] sell[127600] price[6.34] cash[807962.6317] benerfit[21680.5160]
date[2003-11-24] buy[123800] price[6.52] cash[544.4789] value[807720.4789]
date[2003-11-26] sell[123800] price[6.80] cash[841290.0869] benerfit[33327.4552]
date[2003-12-02] buy[125300] price[6.71] cash[274.8580] value[841037.8580]
date[2003-12-03] sell[125300] price[6.72] cash[841196.2372] benerfit[-93.8497]
date[2003-12-04] buy[123600] price[6.80] cash[464.0932] value[840944.0932]
date[2003-12-05] sell[123600] price[6.75] cash[833679.5032] benerfit[-7516.7340]
date[2003-12-10] buy[122200] price[6.82] cash[25.4820] value[833429.4820]
date[2003-12-12] sell[122200] price[6.86] cash[837227.7024] benerfit[3548.1992]
date[2003-12-22] buy[131600] price[6.36] cash[0.6096] value[836976.6096]
date[2003-12-23] sell[131600] price[6.32] cash[830631.3840] benerfit[-6596.3184]
date[2003-12-24] buy[131800] price[6.30] cash[42.2820] value[830382.2820]
date[2003-12-29] sell[131800] price[6.29] cash[827986.5534] benerfit[-2644.8306]
date[2003-12-30] buy[130900] price[6.32] cash[450.3670] value[827738.3670]
date[2003-12-31] sell[130900] price[6.27] cash[820126.4011] benerfit[-7860.1523]
date[2004-01-02] buy[128300] price[6.39] cash[43.4500] value[819880.4500]
date[2004-01-06] sell[128300] price[6.35] cash[813689.3335] benerfit[-6437.0676]
date[2004-01-07] buy[124300] price[6.54] cash[523.4569] value[813445.4569]
date[2004-01-08] sell[124300] price[6.72] cash[834733.5721] benerfit[21044.2386]
date[2004-01-12] buy[126400] price[6.60] cash[243.3001] value[834483.3001]
date[2004-01-14] sell[126400] price[6.66] cash[840972.9289] benerfit[6239.3568]
date[2004-01-15] buy[125400] price[6.70] cash[540.8749] value[840720.8749]
date[2004-01-30] sell[125400] price[7.03] cash[880956.8443] benerfit[39983.9154]
date[2004-02-02] buy[122600] price[7.18] cash[424.7639] value[880692.7639]
date[2004-02-03] sell[122600] price[7.25] cash[888119.2589] benerfit[7162.4146]
date[2004-02-04] buy[121200] price[7.32] cash[669.1037] value[887853.1037]
date[2004-02-05] sell[121200] price[7.26] cash[879437.2181] benerfit[-8682.0408]
date[2004-02-10] buy[118400] price[7.42] cash[645.6597] value[879173.6597]
date[2004-02-11] sell[118400] price[7.48] cash[885126.3381] benerfit[5689.1200]
date[2004-02-17] buy[115000] price[7.69] cash[511.0331] value[884861.0331]
date[2004-02-18] sell[115000] price[7.67] cash[881414.3681] benerfit[-3711.9700]
date[2004-02-19] buy[113500] price[7.76] cash[390.1401] value[881150.1401]
date[2004-02-20] sell[113500] price[7.78] cash[882272.2011] benerfit[857.8330]
date[2004-03-01] buy[122300] price[7.21] cash[224.6662] value[882007.6662]
date[2004-03-02] sell[122300] price[7.21] cash[880861.3483] benerfit[-1410.8528]
date[2004-03-04] buy[118900] price[7.40] cash[737.3903] value[880597.3903]
date[2004-03-05] sell[118900] price[7.22] cash[858079.3949] benerfit[-22781.9534]
date[2004-03-10] buy[120900] price[7.09] cash[641.2406] value[857822.2406]
date[2004-03-12] sell[120900] price[7.10] cash[857915.3336] benerfit[-164.0613]
date[2004-03-15] buy[118100] price[7.26] cash[252.1118] value[857658.1118]
date[2004-03-17] sell[118100] price[7.39] cash[871876.5251] benerfit[13961.1915]
